date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:19:46	1426/1426	---MCZ	200	added ('OK')	application/javascript	etag:%22dc78757a806143cc3b367afe0dd2b49d-ssl-df%22	https://app.webadb.com/_next/static/NA1W09wxLvg04zf2Ol_GT/_buildManifest.js	app.webadb.com/_next/static/NA1W09wxLvg04zf2Ol_GT/_buildManifest.js	(from https://app.webadb.com/)
09:19:46	77/77	---M--	200	added ('OK')	application/javascript	etag:%2210e56c7b864de8b18315c2186e85b6f4-ssl%22	https://app.webadb.com/_next/static/NA1W09wxLvg04zf2Ol_GT/_ssgManifest.js	app.webadb.com/_next/static/NA1W09wxLvg04zf2Ol_GT/_ssgManifest.js	(from https://app.webadb.com/)
09:19:47	92/92	---M--	200	added ('OK')	application/javascript	etag:%226683d4a034453be37acfba5831c0a50e-ssl%22	https://app.webadb.com/_next/static/NA1W09wxLvg04zf2Ol_GT/_middlewareManifest.js	app.webadb.com/_next/static/NA1W09wxLvg04zf2Ol_GT/_middlewareManifest.js	(from https://app.webadb.com/)
09:19:49	398199/398199	---MCZ	200	added ('OK')	text/html	etag:%227ca25a3f41586bc7d34da1d0a2c4246d-ssl-df%22	https://app.webadb.com/device-info	app.webadb.com/device-info.html	(from https://app.webadb.com/)
09:19:50	494146/494146	---MCZ	200	added ('OK')	text/html	etag:%22e408637f4396b268497ce779a485f8d9-ssl-df%22	https://app.webadb.com/file-manager	app.webadb.com/file-manager.html	(from https://app.webadb.com/)
09:19:51	489315/489315	---MCZ	200	added ('OK')	text/html	etag:%221cec22edf1bba8ee2246b149054d946c-ssl-df%22	https://app.webadb.com/framebuffer	app.webadb.com/framebuffer.html	(from https://app.webadb.com/)
09:19:52	389160/389160	---MCZ	200	added ('OK')	text/html	etag:%229ed96477252d652ab13ee076021155c3-ssl-df%22	https://app.webadb.com/shell	app.webadb.com/shell.html	(from https://app.webadb.com/)
09:19:53	588375/588375	---MCZ	200	added ('OK')	text/html	etag:%22ad2b0e44edcf37ce9808db6e2cd78f3c-ssl-df%22	https://app.webadb.com/scrcpy	app.webadb.com/scrcpy.html	(from https://app.webadb.com/)
09:19:54	453686/453686	---MCZ	200	added ('OK')	text/html	etag:%22139127e002f166ba9052bf846b95b258-ssl-df%22	https://app.webadb.com/tcpip	app.webadb.com/tcpip.html	(from https://app.webadb.com/)
09:19:55	391459/391459	---MCZ	200	added ('OK')	text/html	etag:%22fec2efb3f516850b0a97ee6d38e63d8c-ssl-df%22	https://app.webadb.com/install	app.webadb.com/install.html	(from https://app.webadb.com/)
09:19:56	385327/385327	---MCZ	200	added ('OK')	text/html	etag:%22f7e873aada006458ee5c7b5229964ebd-ssl-df%22	https://app.webadb.com/logcat	app.webadb.com/logcat.html	(from https://app.webadb.com/)
